Wall time,Step,Value,
1644407652.6706,1,0.150907561182976,
1644407682.72493,2,0.108801178634167,
1644407712.49447,3,0.11017306894064,
1644407742.75203,4,0.087484173476696,
1644407772.56071,5,0.153229206800461,
1644407802.82319,6,0.16789785027504,
1644407833.07001,7,0.144048124551773,
1644407863.23349,8,0.087484173476696,
1644407893.70304,9,0.11017306894064,
1644407924.01265,10,0.150907561182976,
1644407954.92254,11,0.150907561182976,
1644407985.92744,12,0.10996200889349,
1644408017.12277,13,0.0955044329166412,
1644408048.80037,14,0.111333899199963,
1644408079.87064,15,0.080202616751194,
1644408110.9158,16,0.0684888139367104,
1644408141.78083,17,0.115871675312519,
1644408174.10928,18,0.153123676776886,
1644408206.23165,19,0.152490496635437,
1644408237.96353,20,0.152384966611862,
1644408270.4158,21,0.0579358376562595,
1644408302.49229,22,0.178556352853775,
1644408334.09469,23,0.163993239402771,
1644408365.26861,24,0.11017306894064,
1644408397.67875,25,0.101941749453545,
1644408429.17756,26,0.171802446246147,
1644408460.66914,27,0.196390882134438,
1644408491.98799,28,0.152701556682587,
1644408522.10614,29,0.081468977034092,
1644408552.53693,30,0.0738708302378655,
1644408583.78955,31,0.135500207543373,
1644408615.26431,32,0.148691430687904,
1644408646.70302,33,0.164204299449921,
1644408677.7755,34,0.157661467790604,
1644408708.8637,35,0.15692275762558,
1644408740.4912,36,0.198079362511635,
1644408772.64685,37,0.127057835459709,
1644408803.69726,38,0.151962846517563,
1644408835.81742,39,0.157872512936592,
1644408868.26465,40,0.115344025194645,
1644408900.85931,41,0.127268895506859,
1644408932.2597,42,0.110700719058514,
1644408964.16938,43,0.203777968883514,
1644408995.72182,44,0.16789785027504,
1644409027.39708,45,0.136872097849846,
1644409059.07349,46,0.149535670876503,
1644409092.02903,47,0.151646271348,
1644409124.11501,48,0.211587160825729,
1644409155.71848,49,0.130223721265793,
1644409187.35658,50,0.144364714622498,
1644409219.41721,51,0.135183617472649,
1644409252.11356,52,0.116715915501118,
1644409283.76337,53,0.158083572983742,
1644409316.4236,54,0.185310259461403,
1644409349.11956,55,0.130329251289368,
1644409381.3661,56,0.175495997071266,
1644409413.04216,57,0.124525114893913,
1644409444.85537,58,0.135289147496223,
1644409477.39789,59,0.160510763525963,
1644409509.9115,60,0.152384966611862,
1644409542.03802,61,0.137927398085594,
1644409573.18505,62,0.229738280177116,
1644409605.4859,63,0.152807086706162,
1644409637.04956,64,0.17338539659977,
1644409669.48106,65,0.151751801371574,
1644409702.23748,66,0.168214440345764,
1644409734.0794,67,0.204411149024963,
1644409766.4638,68,0.183516249060631,
1644409799.40136,69,0.219290837645531,
1644409830.97284,70,0.212959051132202,
1644409863.39174,71,0.188265085220337,
1644409896.36208,72,0.193647101521492,
1644409928.65899,73,0.146686360239983,
1644409960.80454,74,0.194807931780815,
1644409993.62725,75,0.218446597456932,
1644410025.72152,76,0.166525959968567,
1644410058.01691,77,0.16219924390316,
1644410089.94861,78,0.18921485543251,
1644410122.11684,79,0.174229636788368,
1644410154.15384,80,0.237441956996918,
1644410186.05497,81,0.243246093392372,
1644410217.85627,82,0.274166315793991,
1644410250.48294,83,0.208104684948921,
1644410281.98071,84,0.224356263875961,
1644410313.1176,85,0.160932883620262,
1644410345.13546,86,0.0684888139367104,
1644410377.34511,87,0.180772483348846,
1644410409.48922,88,0.203039258718491,
1644410441.81818,89,0.159772053360939,
1644410474.57764,90,0.179822713136673,
1644410507.95286,91,0.231321230530739,
1644410539.96095,92,0.276910096406937,
1644410571.3675,93,0.236070066690445,
1644410603.0343,94,0.179084002971649,
1644410634.95798,95,0.218446597456932,
1644410668.26351,96,0.158505693078041,
1644410699.92401,97,0.196074292063713,
1644410731.53678,98,0.205255389213562,
