Wall time,Step,Value,
1644480905.47229,1,0.150907561182976,
1644480952.1855,2,0.110384128987789,
1644480999.55633,3,0.152384966611862,
1644481047.61128,4,0.150907561182976,
1644481093.6162,5,0.109328828752041,
1644481142.98859,6,0.152384966611862,
1644481189.90187,7,0.0685943439602852,
1644481239.66243,8,0.176023632287979,
1644481284.63227,9,0.109117768704891,
1644481328.30276,10,0.0919164195656776,
1644481376.3535,11,0.152384966611862,
1644481423.96717,12,0.129273951053619,
1644481468.59642,13,0.152384966611862,
1644481515.1843,14,0.118720978498459,
1644481565.68542,15,0.108801178634167,
1644481612.38983,16,0.158716753125191,
1644481658.39528,17,0.087484173476696,
1644481704.80267,18,0.11017306894064,
1644481753.5668,19,0.112494722008705,
1644481800.05719,20,0.231004640460014,
1644481849.6378,21,0.172224566340446,
1644481896.7646,22,0.20061206817627,
1644481941.87842,23,0.144997894763947,
1644481987.75393,24,0.215808361768723,
1644482035.17164,25,0.152384966611862,
1644482080.69026,26,0.115871675312519,
1644482128.38763,27,0.168425500392914,
1644482173.99992,28,0.20894892513752,
1644482217.49687,29,0.225728154182434,
1644482266.82746,30,0.152384966611862,
1644482312.75346,31,0.231426760554314,
1644482358.1475,32,0.165576189756393,
1644482406.2704,33,0.161777123808861,
1644482452.61156,34,0.185415789484978,
1644482499.54896,35,0.130856901407242,
1644482545.92401,36,0.176340222358704,
1644482592.2008,37,0.140354573726654,
1644482640.25995,38,0.132756441831589,
1644482687.68264,39,0.245884343981743,
1644482734.81056,40,0.201878428459167,
1644482781.97314,41,0.153123676776886,
1644482828.95313,42,0.161143943667412,
1644482875.55465,43,0.254854381084442,
1644482924.0403,44,0.182672008872032,
1644482969.40311,45,0.216758131980896,
1644483019.68161,46,0.249155759811401,
1644483067.21999,47,0.22520050406456,
1644483111.4296,48,0.184254959225655,
1644483155.75784,49,0.251688480377197,
1644483202.74923,50,0.249261289834976,
1644483249.53724,51,0.233642891049385,
1644483297.06075,52,0.22298438847065,
1644483343.94619,53,0.215913891792297,
1644483394.15537,54,0.160510763525963,
1644483441.69478,55,0.19491346180439,
1644483489.13305,56,0.210109755396843,
1644483538.42045,57,0.243246093392372,
1644483586.73248,58,0.140882223844528,
1644483634.15467,59,0.240924447774887,
1644483680.05951,60,0.242190793156624,
1644483729.98009,61,0.234065011143684,
1644483774.41553,62,0.229949340224266,
1644483822.04602,63,0.237230896949768,
1644483870.62128,64,0.210320815443993,
1644483918.26494,65,0.206205144524574,
1644483964.7193,66,0.254432260990143,
1644484012.27173,67,0.200717598199844,
1644484057.54851,68,0.197551712393761,
1644484103.22603,69,0.200295478105545,
1644484149.50077,70,0.168953150510788,
1644484198.93934,71,0.205044329166412,
1644484243.60428,72,0.172646686434746,
1644484294.04606,73,0.211692690849304,
1644484340.82228,74,0.220873787999153,
1644484387.10629,75,0.220662727952003,
1644484439.18253,76,0.240080207586288,
1644484486.27193,77,0.260447442531586,
1644484530.32584,78,0.187104269862175,
1644484578.70218,79,0.273005485534668,
1644484626.61642,80,0.276910096406937,
1644484673.98907,81,0.167159140110016,
1644484721.58206,82,0.209265515208244,
1644484766.6917,83,0.191747575998306,
1644484813.08755,84,0.283558458089828,
1644484857.71254,85,0.170536085963249,
1644484905.93032,86,0.185732379555702,
1644484953.8842,87,0.170008435845375,
1644484999.24206,88,0.153334736824036,
1644485047.86037,89,0.227416634559631,
1644485099.07213,90,0.197340652346611,
1644485143.12639,91,0.235859006643295,
1644485187.96013,92,0.18393836915493,
1644485234.53798,93,0.1869987398386,
1644485281.13397,94,0.228682994842529,
1644485328.2054,95,0.271422535181046,
1644485377.95972,96,0.24451245367527,
1644485425.39542,97,0.278387516736984,
1644485474.13653,98,0.209476575255394,
1644485523.40335,99,0.272583365440369,
1644485569.33182,100,0.286196708679199,
1644485616.90197,101,0.216547071933746,
1644485663.48031,102,0.182777538895607,
1644485706.12634,103,0.119776278734207,
1644485755.57336,104,0.256120711565018,
1644485802.30987,105,0.23089911043644,
1644485845.70228,106,0.178028702735901,
1644485894.41118,107,0.299071341753006,
1644485941.38916,108,0.175390467047691,
1644485987.86164,109,0.301287472248077,
1644486033.995,110,0.236386656761169,
1644486080.62257,111,0.294428020715713,
1644486127.7057,112,0.276804566383362,
1644486173.38736,113,0.299176871776581,
1644486221.22458,114,0.266990303993225,
1644486269.29505,115,0.287252008914948,
1644486316.80896,116,0.303820163011551,
1644486360.51641,117,0.268256634473801,
1644486410.06676,118,0.220346137881279,
1644486456.40782,119,0.205255389213562,
1644486501.44377,120,0.234065011143684,
1644486548.41721,121,0.185626849532127,
1644486592.40248,122,0.276593506336212,
1644486641.50659,123,0.262030392885208,
1644486687.65812,124,0.209159985184669,
1644486736.97295,125,0.285352468490601,
1644486783.39566,126,0.286513298749924,
1644486831.80335,127,0.303292542695999,
1644486880.91168,128,0.25021106004715,
1644486927.90597,129,0.224778383970261,
1644486972.90226,130,0.205994084477425,
1644487020.05662,131,0.232798650860786,
1644487064.18804,132,0.182249888777733,
1644487113.46256,133,0.168108910322189,
1644487162.12294,134,0.220557197928429,
1644487209.58207,135,0.243457153439522,
1644487255.88257,136,0.321654707193375,
1644487302.78787,137,0.215597301721573,
1644487352.99313,138,0.266568183898926,
1644487400.45233,139,0.284086108207703,
1644487447.6155,140,0.216969192028046,
1644487497.11322,141,0.286513298749924,
1644487542.65812,142,0.267940044403076,
1644487589.68418,143,0.261186152696609,
1644487636.34781,144,0.308780074119568,
1644487679.7491,145,0.312262564897537,
1644487726.42356,146,0.189003795385361,
1644487774.79535,147,0.242085263133049,
1644487825.02385,148,0.178239762783051,
1644487873.29355,149,0.258547902107239,
1644487918.64307,150,0.234276071190834,
1644487963.38926,151,0.324715077877045,
1644488011.59281,152,0.329886019229889,
1644488057.37576,153,0.216758131980896,
1644488102.91945,154,0.32460954785347,
1644488150.65861,155,0.296644151210785,
1644488200.49101,156,0.375369340181351,
1644488247.23683,157,0.264985233545303,
1644488296.95268,158,0.221401438117027,
1644488343.3852,159,0.174546226859093,
1644488392.82144,160,0.34613761305809,
1644488440.04716,161,0.300865352153778,
1644488485.14538,162,0.300021111965179,
1644488531.6478,163,0.233853951096535,
1644488577.58622,164,0.288307309150696,
1644488627.75295,165,0.273955255746841,
1644488674.19934,166,0.351414084434509,
1644488721.60994,167,0.178239762783051,
1644488766.77536,168,0.323554247617722,
1644488811.972,169,0.337589710950851,
1644488857.28229,170,0.302553832530975,
1644488901.58411,171,0.289362609386444,
1644488950.33493,172,0.211481630802155,
1644488996.50056,173,0.292106360197067,
1644489043.33635,174,0.329358369112015,
1644489089.56295,175,0.261713802814484,
1644489136.93465,176,0.33231320977211,
1644489184.50247,177,0.194174751639366,
1644489228.36015,178,0.311840444803238,
1644489275.95656,179,0.314373165369034,
1644489321.19627,180,0.28556352853775,
1644489369.554,181,0.327247798442841,
1644489414.2503,182,0.290206849575043,
1644489459.51383,183,0.255487561225891,
1644489505.62748,184,0.252216130495071,
1644489554.41329,185,0.349514573812485,
1644489601.59512,186,0.286618828773499,
1644489649.05736,187,0.321232587099075,
1644489695.52407,188,0.307408183813095,
1644489739.96106,189,0.326614618301392,
1644489782.29918,190,0.264879703521729,
1644489829.28743,191,0.337378650903702,
1644489877.30057,192,0.306247353553772,
1644489925.48459,193,0.263929933309555,
1644489974.60299,194,0.290523439645767,
1644490021.85512,195,0.362072616815567,
1644490068.47868,196,0.281236797571182,
1644490118.26247,197,0.278176456689835,
1644490164.32352,198,0.339383691549301,
1644490207.98439,199,0.336745470762253,
1644490255.6354,200,0.310890674591064,0.375369340181351
