Wall time,Step,Value,
1644275421.63107,1,0.300694078207016,
1644275452.9631,2,0.318206071853638,
1644275485.35583,3,0.355792850255966,
1644275522.69812,4,0.40736785531044,
1644275559.25407,5,0.456700474023819,
1644275594.9435,6,0.466737866401672,
1644275630.48327,7,0.465670049190521,
1644275667.35978,8,0.504858493804932,
1644275699.84322,9,0.509236514568329,
1644275730.3415,10,0.519167125225067,
1644275764.21776,11,0.519167125225067,
1644275798.21697,12,0.504538178443909,
1644275831.35082,13,0.538280844688416,
1644275863.79413,14,0.556113183498383,
1644275903.05825,15,0.57928454875946,
1644275939.46762,16,0.588040590286255,
1644275971.85779,17,0.58622533082962,
1644276010.17665,18,0.587933778762817,
1644276044.87069,19,0.597330510616303,
1644276093.78894,20,0.621035754680634,
1644276133.64183,21,0.625520527362824,
1644276171.29994,22,0.626374781131744,
1644276211.11732,23,0.637052834033966,
1644276245.8457,24,0.623705267906189,
1644276282.50657,25,0.635237574577332,
1644276315.59525,26,0.65456485748291,
1644276349.96721,27,0.6590496301651,
1644276388.74788,28,0.665456473827362,
1644276423.09519,29,0.663748025894165,
1644276455.29047,30,0.659156441688538,
1644276486.029,31,0.664495468139648,
1644276522.74166,32,0.663000524044037,
1644276558.25807,33,0.672290444374085,
1644276595.34831,34,0.679017603397369,
1644276635.41888,35,0.675493836402893,
1644276678.89559,36,0.680405795574188,
1644276710.03074,37,0.682861745357513,
1644276755.05633,38,0.683822751045227,
1644276788.32438,39,0.689482092857361,
1644276829.81855,40,0.690443158149719,
1644276869.36304,41,0.68435662984848,
1644276903.1569,42,0.691724479198456,
1644276934.31142,43,0.693432986736298,
1644276971.09219,44,0.696316063404083,
1644277014.84306,45,0.691510915756226,
1644277060.90976,46,0.698131322860718,
1644277098.92906,47,0.70496529340744,
1644277147.806,48,0.704217851161957,
1644277187.92552,49,0.712760269641876,
1644277231.20118,50,0.706566989421845,
1644277267.13876,51,0.718739986419678,
1644277302.87977,52,0.709770441055298,
1644277332.8302,53,0.717885732650757,
1644277374.9172,54,0.706994116306305,
1644277414.47998,55,0.719807803630829,
1644277450.39389,56,0.727068901062012,
1644277485.21634,57,0.718633234500885,
1644277517.99225,58,0.719273865222931,
1644277556.1891,59,0.718846797943115,
1644277586.82814,60,0.718739986419678,
1644277628.69254,61,0.70945006608963,
1644277666.96225,62,0.719060301780701,
1644277702.42279,63,0.723651885986328,
1644277738.51989,64,0.716711163520813,
1644277774.12351,65,0.730165481567383,
1644277807.59107,66,0.724826455116272,
1644277843.05222,67,0.729097723960876,
1644277874.90398,68,0.729204475879669,
1644277912.37886,69,0.715002655982971,
1644277948.03231,70,0.715429782867432,
1644277985.60353,71,0.728670597076416,
1644278025.77736,72,0.733475685119629,
1644278057.60911,73,0.729951977729797,
1644278090.22803,74,0.738707959651947,
1644278128.21155,75,0.73454350233078,
1644278168.02045,76,0.723758697509766,
1644278208.83091,77,0.731233298778534,
1644278244.43224,78,0.731660425662994,
1644278283.39013,79,0.72044849395752,
1644278321.78002,80,0.720768809318543,
1644278354.74793,81,0.733475685119629,
1644278393.95436,82,0.737533390522003,
1644278427.00411,83,0.731660425662994,
1644278479.71912,84,0.742445290088654,
1644278517.23905,85,0.747891068458557,
1644278555.95217,86,0.740950345993042,
1644278588.07933,87,0.736252009868622,
1644278621.48639,88,0.738387584686279,
1644278651.78218,89,0.742765605449677,
1644278683.59999,90,0.743619859218597,
1644278722.79487,91,0.743406295776367,
1644278755.29758,92,0.73881471157074,
1644278799.66211,93,0.738174080848694,
1644278835.21133,94,0.745541930198669,
1644278867.46603,95,0.746075809001923,
