Wall time,Round,Iteration,Value,
1644027018.42059,1,500,0.219299122691154,
1644027090.93329,2,1000,0.254342794418335,
1644027163.28543,3,1500,0.309970885515213,
1644027234.00151,4,2000,0.351139664649963,
1644027306.75513,5,2500,0.381162762641907,
1644027378.18407,6,3000,0.407972693443298,
1644027446.50943,7,3500,0.42594638466835,
1644027516.69092,8,4000,0.436690419912338,
1644027587.99875,9,4500,0.455768644809723,
1644027659.61986,10,5000,0.468420535326004,
1644027729.67291,11,5500,0.482076525688171,
1644027798.20731,12,6000,0.493724256753922,
1644027872.95313,13,6500,0.505171179771423,
1644027953.20535,14,7000,0.51460987329483,
1644028035.28811,15,7500,0.524450242519379,
1644028113.41793,16,8000,0.523345708847046,
1644028193.93157,17,8500,0.534190177917481,
1644028276.0317,18,9000,0.540315270423889,
1644028363.39958,19,9500,0.552665948867798,
1644028451.25984,20,10000,0.554875016212463,
1644028542.32468,21,10500,0.563510417938232,
1644028625.17907,22,11000,0.577166378498077,
1644028704.61357,23,11500,0.58168488740921,
1644028785.74765,24,12000,0.580279171466827,
1644028868.21934,25,12500,0.591726064682007,
1644028949.04455,26,13000,0.593633890151978,
1644029029.41808,27,13500,0.60186767578125,
1644029109.65866,28,14000,0.599558174610138,
1644029191.2926,29,14500,0.60467916727066,
1644029273.68661,30,15000,0.61893767118454,
1644029356.94841,31,15500,0.619941771030426,
1644029438.40607,32,16000,0.617531895637512,
1644029517.78401,33,16500,0.621949970722199,
1644029597.67658,34,17000,0.624962329864502,
1644029676.03157,35,17500,0.625966489315033,
1644029753.90023,36,18000,0.637313008308411,
1644029834.62165,37,18500,0.635806798934937,
1644029912.07228,38,19000,0.640626549720764,
1644029993.43719,39,19500,0.638517916202545,
1644030072.76202,40,20000,0.649161577224731,
1644030150.92292,41,20500,0.654483377933502,
1644030232.12964,42,21000,0.650968968868256,
1644030312.39551,43,21500,0.656190395355225,
1644030390.78302,44,22000,0.664022505283356,
1644030472.62693,45,22500,0.654985427856445,
1644030554.3104,46,23000,0.662014245986939,
1644030634.05996,47,23500,0.669545114040375,
1644030715.06114,48,24000,0.661210954189301,
1644030795.11535,49,24500,0.660708904266357,
1644030875.20513,50,25000,0.664022505283356,
1644030955.16991,51,25500,0.670549273490906,
1644031037.61722,52,26000,0.665629088878632,
1644031115.87459,53,26500,0.669143497943878,
1644031196.2248,54,27000,0.673059523105621,
1644031276.80836,55,27500,0.673159956932068,
1644031357.47891,56,28000,0.678782999515533,
1644031438.09221,57,28500,0.682799458503723,
1644031520.25264,58,29000,0.678682625293732,
1644031600.83179,59,29500,0.678381383419037,
1644031680.3305,60,30000,0.687619209289551,
1644031760.95469,61,30500,0.686012625694275,
1644031840.49768,62,31000,0.686414301395416,
1644031920.82492,63,31500,0.69133448600769,
1644032005.97173,64,32000,0.689125418663025,
1644032091.0875,65,32500,0.687518835067749,
1644032174.8357,66,33000,0.692338585853577,
1644032258.25198,67,33500,0.692338585853577,
1644032341.40192,68,34000,0.689125418663025,
1644032424.21557,69,34500,0.692941069602966,
1644032508.65987,70,35000,0.692740261554718,
1644032590.82254,71,35500,0.696355044841766,
1644032675.93847,72,36000,0.692740261554718,
1644032758.66996,73,36500,0.704689204692841,
1644032843.53037,74,37000,0.703183054924011,
1644032927.18853,75,37500,0.694447219371796,
1644033009.50047,76,38000,0.702279329299927,
1644033092.35691,77,38500,0.704187154769897,
1644033176.22326,78,39000,0.701978087425232,
1644033262.01901,79,39500,0.70649665594101,
1644033352.03721,80,40000,0.705693364143372,
1644033442.6403,81,40500,0.70278137922287,
1644033542.04313,82,41000,0.708806097507477,
1644033641.19183,83,41500,0.703183054924011,
1644033748.58444,84,42000,0.703685104846954,
1644033831.85976,85,42500,0.712822556495667,
1644033932.56439,86,43000,0.712521314620972,
1644034038.30879,87,43500,0.715634107589722,
1644034137.17036,88,44000,0.71181845664978,
1644034236.07916,89,44500,0.708002805709839,
1644034329.88648,90,45000,0.716738641262054,
1644034424.7921,91,45500,0.714630007743835,
1644034527.64368,92,46000,0.713525474071503,
1644034608.14622,93,46500,0.722863733768463,
1644034678.82531,94,47000,0.723064541816711,
1644034750.23097,95,47500,0.717341125011444,
1644034820.77685,96,48000,0.721859633922577,
1644034890.19197,97,48500,0.719650566577911,
1644034958.9571,98,49000,0.725574851036072,
1644035030.06735,99,49500,0.722160875797272,
1644035100.59696,100,50000,0.722060441970825,
1644035167.58431,101,50500,0.72979211807251,
1644035237.88276,102,51000,0.726076900959015,
1644035304.3939,103,51500,0.730695843696594,
1644035372.35335,104,52000,0.723767459392548,
1644035438.02625,105,52500,0.724068701267242,
1644035505.92725,106,53000,0.727583110332489,
1644035573.84065,107,53500,0.732101619243622,
1644035642.51082,108,54000,0.723365783691406,
1644035710.06137,109,54500,0.725072801113129,
1644035778.23589,110,55000,0.722060441970825,
1644035847.18707,111,55500,0.730294227600098,
1644035914.93178,112,56000,0.725976526737213,
1644035980.98503,113,56500,0.732503235340118,
1644036049.60943,114,57000,0.733005344867706,
1644036116.44666,115,57500,0.72979211807251,
1644036185.32799,116,58000,0.72979211807251,
1644036252.70243,117,58500,0.728386402130127,
1644036319.03652,118,59000,0.727683484554291,
1644036388.51891,119,59500,0.727884352207184,
1644036454.19878,120,60000,0.731499135494232,
1644036522.97105,121,60500,0.733708202838898,
1644036591.38349,122,61000,0.735616028308868,
1644036659.94986,123,61500,0.733206152915955,
1644036728.17559,124,62000,0.736118078231812,
1644036796.00455,125,62500,0.738126337528229,
1644036864.37554,126,63000,0.735314786434174,
1644036932.65532,127,63500,0.736921370029449,
1644037000.76962,128,64000,0.737724661827087,
1644037068.99409,129,64500,0.735515594482422,
1644037136.24892,130,65000,0.742142796516418,
1644037203.27279,131,65500,0.740234971046448,
1644037271.06985,132,66000,0.739632487297058,
1644037339.37443,133,66500,0.738728761672974,
1644037405.90711,134,67000,0.739532053470612,
1644037474.375,135,67500,0.739732921123505,
1644037541.33104,136,68000,0.740837454795837,
1644037609.71967,137,68500,0.739230871200562,
1644037677.17254,138,69000,0.741640746593475,
1644037743.97297,139,69500,0.739933729171753,
1644037809.9239,140,70000,0.740536212921143,
1644037876.90592,141,70500,0.740134537220001,
1644037945.15039,142,71000,0.743849754333496,
1644038013.00818,143,71500,0.744150996208191,
1644038081.81309,144,72000,0.74595844745636,
1644038147.58019,145,72500,0.742444038391113,
1644038215.00209,146,73000,0.742343604564667,
1644038283.09762,147,73500,0.748569130897522,
1644038350.33255,148,74000,0.747163355350494,
1644038418.3706,149,74500,0.74194198846817,
1644038485.43563,150,75000,0.746661305427551,
1644038552.03698,151,75500,0.749171614646912,
1644038619.57082,152,76000,0.746259689331055,
1644038688.23666,153,76500,0.747665405273438,
1644038755.69716,154,77000,0.747464597225189,
1644038823.32367,155,77500,0.742444038391113,
1644038889.50581,156,78000,0.740134537220001,
1644038958.045,157,78500,0.748267889022827,
1644039024.15955,158,79000,0.74595844745636,
1644039090.74464,159,79500,0.746661305427551,
1644039158.74904,160,80000,0.747665405273438,
1644039227.44835,161,80500,0.752384781837463,
1644039293.49079,162,81000,0.750778198242188,
1644039362.45025,163,81500,0.749874472618103,
1644039429.13888,164,82000,0.750175714492798,
1644039497.24239,165,82500,0.752083539962769,
1644039564.20613,166,83000,0.752686023712158,
1644039633.09028,167,83500,0.754895091056824,
1644039699.37723,168,84000,0.748669564723969,
1644039764.76961,169,84500,0.748970806598663,
1644039830.74975,170,85000,0.750577390193939,
1644039898.8875,171,85500,0.754794657230377,
1644039965.56884,172,86000,0.748167514801025,
1644040031.61077,173,86500,0.75278639793396,
1644040100.50491,174,87000,0.750878632068634,
1644040172.58586,175,87500,0.754593849182129,
1644040239.1409,176,88000,0.755597949028015,
1644040306.48995,177,88500,0.750476956367493,
1644040375.62774,178,89000,0.755497515201569,
1644040443.16401,179,89500,0.757505774497986,
1644040509.44851,180,90000,0.753087639808655,
1644040575.64294,181,90500,0.758108258247376,
1644040643.61494,182,91000,0.759514033794403,
1644040711.93523,183,91500,0.750175714492798,
1644040779.40691,184,92000,0.750677764415741,
1644040846.07277,185,92500,0.755397140979767,
1644040914.13578,186,93000,0.757606208324432,
1644040983.28046,187,93500,0.75188273191452,
1644041049.51431,188,94000,0.755798757076263,
1644041115.53359,189,94500,0.756602048873901,
1644041182.41116,190,95000,0.750075280666351,
1644041248.7457,191,95500,0.757706582546234,
1644041317.38802,192,96000,0.759714841842651,
1644041382.65785,193,96500,0.754091799259186,
1644041451.08709,194,97000,0.759413599967957,
1644041519.69858,195,97500,0.759011924266815,
1644041587.6386,196,98000,0.757907450199127,
1644041654.80144,197,98500,0.756200432777405,
1644041721.46444,198,99000,0.761622667312622,
1644041790.09675,199,99500,0.760518133640289,
1644041858.53531,200,100000,0.757606208324432,0.761622667312622
1644041925.00337,201,100500,0.755999624729157,
1644041991.83265,202,101000,0.758710741996765,
1644042059.96398,203,101500,0.75589919090271,
1644042128.25154,204,102000,0.757003724575043,
1644042196.75638,205,102500,0.759011924266815,
1644042265.02621,206,103000,0.752886831760407,
1644042332.00624,207,103500,0.756099998950958,
1644042398.26266,208,104000,0.754794657230377,
1644042466.6436,209,104500,0.758911550045013,
1644042532.98844,210,105000,0.760919749736786,
1644042598.96882,211,105500,0.761220991611481,
1644042666.6986,212,106000,0.764735400676727,
1644042735.09123,213,106500,0.764032542705536,
1644042802.68486,214,107000,0.766643226146698,
1644042869.52581,215,107500,0.762124717235565,
1644042936.00083,216,108000,0.762325525283814,
1644043003.64103,217,108500,0.759614408016205,
1644043071.91138,218,109000,0.760216891765595,
1644043139.33409,219,109500,0.767245709896088,
1644043208.01467,220,110000,0.762024283409119,
1644043276.12479,221,110500,0.762024283409119,
1644043341.64,222,111000,0.765538692474365,
1644043409.84746,223,111500,0.762325525283814,
1644043478.12304,224,112000,0.762626767158508,
1644043546.3694,225,112500,0.761220991611481,
1644043611.8719,226,113000,0.759514033794403,
1644043678.30854,227,113500,0.764333784580231,
1644043744.42876,228,114000,0.760819375514984,
1644043810.2156,229,114500,0.764132916927338,
1644043878.16438,230,115000,0.760718941688538,
1644043943.95014,231,115500,0.764233350753784,
1644044012.86924,232,116000,0.76302844285965,
1644044081.37519,233,116500,0.762727200984955,
1644044147.12546,234,117000,0.767145276069641,
1644044214.7909,235,117500,0.760518133640289,
1644044282.35847,236,118000,0.76493626832962,
1644044350.10188,237,118500,0.762928009033203,
1644044415.66171,238,119000,0.763530492782593,
1644044482.60396,239,119500,0.765337884426117,
1644044550.73185,240,120000,0.768852293491364,
1644044619.62126,241,120500,0.764735400676727,
