Wall time,Round,Iteration,Value,Max Value,
1644425228.7226,1,,0.150907561182976,0.150907561182976,
1644425260.88245,2,,0.108801178634167,0.150907561182976,
1644425294.17794,3,,0.11017306894064,0.150907561182976,
1644425327.50727,4,,0.152384966611862,0.152384966611862,
1644425359.58579,5,,0.157344877719879,0.157344877719879,
1644425391.55527,6,,0.150907561182976,0.157344877719879,
1644425423.18843,7,,0.152384966611862,0.157344877719879,
1644425455.67981,8,,0.152384966611862,0.157344877719879,
1644425489.49661,9,,0.11017306894064,0.157344877719879,
1644425521.22036,10,,0.150907561182976,0.157344877719879,
1644425554.19463,11,,0.140671163797379,0.157344877719879,
1644425586.55041,12,,0.144259184598923,0.157344877719879,
1644425618.52143,13,,0.144997894763947,0.157344877719879,
1644425650.07469,14,,0.110384128987789,0.157344877719879,
1644425682.3765,15,,0.0837906301021576,0.157344877719879,
1644425715.53048,16,,0.155128747224808,0.157344877719879,
1644425748.31007,17,,0.209898695349693,0.209898695349693,
1644425780.91216,18,,0.191853106021881,0.209898695349693,
1644425813.63155,19,,0.152384966611862,0.209898695349693,
1644425845.76907,20,,0.179822713136673,0.209898695349693,
1644425877.42783,21,,0.217391297221184,0.217391297221184,
1644425909.81054,22,,0.21950189769268,0.21950189769268,
1644425942.21169,23,,0.155656397342682,0.21950189769268,
1644425974.93863,24,,0.136238917708397,0.21950189769268,
1644426008.38259,25,,0.118193328380585,0.21950189769268,
1644426041.03868,26,,0.187948495149612,0.21950189769268,
1644426074.46511,27,,0.213592231273651,0.21950189769268,
1644426107.03434,28,,0.197235122323036,0.21950189769268,
1644426140.05201,29,,0.118720978498459,0.21950189769268,
1644426173.15291,30,,0.199767827987671,0.21950189769268,
1644426205.7349,31,,0.178345292806625,0.21950189769268,
1644426238.58594,32,,0.214964121580124,0.21950189769268,
1644426272.03568,33,,0.269206404685974,0.269206404685974,
1644426304.22325,34,,0.176551282405853,0.269206404685974,
1644426336.3297,35,,0.290523439645767,0.290523439645767,
1644426369.42782,36,,0.150802031159401,0.290523439645767,
1644426402.58053,37,,0.235120296478271,0.290523439645767,
1644426434.73402,38,,0.18393836915493,0.290523439645767,
1644426467.91223,39,,0.187948495149612,0.290523439645767,
1644426501.36627,40,,0.276593506336212,0.290523439645767,
1644426533.89273,41,,0.199240192770958,0.290523439645767,
1644426566.61223,42,,0.173596456646919,0.290523439645767,
1644426599.59068,43,,0.279548346996307,0.290523439645767,
1644426631.82737,44,,0.201667368412018,0.290523439645767,
1644426665.44068,45,,0.201456308364868,0.290523439645767,
1644426698.7708,46,,0.233326300978661,0.290523439645767,
1644426731.43102,47,,0.15344026684761,0.290523439645767,
1644426763.71908,48,,0.195018991827965,0.290523439645767,
1644426797.30504,49,,0.1784508228302,0.290523439645767,
1644426829.80612,50,,0.224356263875961,0.290523439645767,
1644426863.07194,51,,0.254326730966568,0.290523439645767,
1644426895.52793,52,,0.268995344638824,0.290523439645767,
1644426929.38308,53,,0.273216545581818,0.290523439645767,
1644426963.65071,54,,0.303820163011551,0.303820163011551,
1644426997.30485,55,,0.261608272790909,0.303820163011551,
1644427029.87456,56,,0.186154499650002,0.303820163011551,
1644427063.30466,57,,0.188476145267487,0.303820163011551,
1644427096.42001,58,,0.217391297221184,0.303820163011551,
1644427129.44962,59,,0.242401853203773,0.303820163011551,
1644427162.67611,60,,0.214542001485825,0.303820163011551,
1644427196.75554,61,,0.226150274276733,0.303820163011551,
1644427228.95828,62,,0.264879703521729,0.303820163011551,
1644427261.54458,63,,0.238919377326965,0.303820163011551,
